trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;CPTrandom.thisRepN;CPTrandom.thisTrialN;CPTrandom.thisN;CPTrandom.thisIndex;thisRow.t;notes;textbox.text;textbox_4.text;Presented_Number;Response_Time;Correct;Miss;False_Alarm;omFyra.keys;omFyra.rt;omFyra.duration;slider.response;debriefThankYou.started;debriefThankYou.stopped;participant;session;date;expName;psychopyVersion;frameRate;expStart
0;0;0;0;;;;;1450.4983648000052;;vapen, pulka, pall, champagneglas, trumma, solskydd, keps, tyngd, tallrik, fågelbad, kakform, värmehållare, ;slagträ, adventsljusstake, lunch, frukost, fågelmat, fönsterknackare, handvärmare, doftspridare, ;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
1;0;1;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
2;0;2;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
3;0;3;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
4;0;4;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
5;0;5;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
6;0;6;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
7;0;7;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
8;0;8;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
9;0;9;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
10;0;10;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
11;0;11;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
12;0;12;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
13;0;13;0;;;;;1450.4983648000052;;;;;;;;;;;;;;;exp9;2;2024-03-18_17h07.48.017;experimentet2;2023.2.3;59.86263918405008;2024-03-18 17h08.08.134200 +0100
